Materiale,Modulo_Young_MPa,Snervamento_MPa,Spessore_mm,Cava_V_mm,Raggio_Punzone_mm,Raggio_Matrice_mm,Angolo_Desiderato_deg,Corsa_Punzione_mm
Alluminio_6061_T6,69803.5,269.1,3.8,32,1.0,1.5,149.66,4.027
Acciaio_Inox_304,188776.2,286.4,5.3,40,2.0,1.5,112.5,11.494
Acciaio_Mite_S235,211236.1,236.2,3.1,24,4.0,2.0,133.22,4.286
Acciaio_Mite_S235,208499.9,229.6,7.3,60,0.8,1.5,91.35,25.605
Acciaio_Inox_304,189343.1,297.8,8.0,60,2.0,1.0,81.8,28.854
Alluminio_6061_T6,68245.3,280.9,6.3,50,4.0,2.0,131.16,10.102
Acciaio_Mite_S235,213274.1,241.1,1.9,16,3.0,3.0,98.03,4.274
Acciaio_Inox_304,198883.3,312.1,2.0,16,3.0,3.0,116.45,3.554
Acciaio_Mite_S235,208755.0,237.0,2.9,24,4.0,3.0,159.35,2.154
Alluminio_6061_T6,69003.7,261.4,5.6,40,1.5,1.0,134.69,7.713
Alluminio_6061_T6,69741.6,271.0,6.0,50,1.5,2.0,96.37,18.953
Acciaio_Inox_304,187383.8,297.0,3.8,32,1.5,1.5,154.7,3.505
Alluminio_5052_H32,69953.4,180.8,4.4,32,1.5,2.0,94.15,11.968
Alluminio_6061_T6,70832.5,266.9,7.1,60,0.8,1.0,89.84,26.283
Alluminio_5052_H32,70423.7,203.0,4.7,40,0.8,3.0,106.9,12.763
Alluminio_5052_H32,70277.2,184.4,2.9,24,2.0,1.5,129.67,4.882
Acciaio_Inox_304,189261.1,326.8,7.7,60,0.8,1.5,137.71,10.893
Acciaio_Inox_304,190467.0,284.4,3.7,32,1.0,1.0,125.04,7.592
Acciaio_Inox_304,191269.2,294.6,2.3,20,3.0,1.5,148.83,2.541
Acciaio_Mite_S235,209102.4,238.5,5.0,40,4.0,3.0,139.1,6.541
Alluminio_5052_H32,71486.7,199.6,1.4,12,1.5,2.0,87.27,3.95
Alluminio_6061_T6,69277.7,295.0,3.8,32,3.0,2.0,118.31,8.058
Alluminio_5052_H32,70299.3,208.5,1.0,8,1.5,2.0,146.33,1.091
Alluminio_5052_H32,68444.2,198.4,2.3,20,1.0,2.0,149.11,2.477
Alluminio_6061_T6,69158.3,284.5,1.6,12,0.8,1.5,152.81,1.341
Alluminio_5052_H32,71782.4,215.9,1.2,10,0.8,2.0,152.86,1.097
Acciaio_Mite_S235,214838.5,217.1,4.8,40,0.8,3.0,129.26,8.579
Alluminio_5052_H32,67233.5,185.9,1.8,16,1.0,3.0,130.17,3.217
Acciaio_Mite_S235,212847.3,225.8,4.2,32,0.8,3.0,115.61,8.594
Acciaio_Mite_S235,202077.4,239.6,1.4,12,2.0,3.0,129.13,2.256
Alluminio_6061_T6,68067.0,295.3,5.6,40,0.8,1.0,97.92,15.022
Alluminio_6061_T6,69518.2,275.9,3.9,32,3.0,1.0,104.08,10.441
Acciaio_Mite_S235,202498.6,252.8,5.3,40,2.0,3.0,144.85,5.92
Acciaio_Inox_304,190517.2,289.4,6.6,50,1.5,1.0,152.8,5.638
Alluminio_6061_T6,67418.4,265.3,3.8,32,1.0,3.0,121.4,7.914
Alluminio_5052_H32,70080.9,186.7,6.1,50,3.0,2.0,138.35,8.626
Alluminio_5052_H32,69809.9,192.7,1.5,12,3.0,1.0,142.78,1.707
Alluminio_5052_H32,70388.5,178.8,4.6,40,0.8,3.0,118.78,10.421
Alluminio_5052_H32,69826.0,189.1,6.4,50,0.8,3.0,106.69,16.06
Acciaio_Mite_S235,209661.0,218.2,1.7,12,0.8,1.0,132.57,2.35
Alluminio_5052_H32,70479.4,208.1,3.7,32,4.0,1.0,150.01,3.885
Acciaio_Inox_304,197478.1,288.2,6.0,50,4.0,1.0,144.02,7.588
Alluminio_5052_H32,69949.5,198.4,7.1,60,1.5,3.0,105.03,20.045
Alluminio_6061_T6,67931.7,277.7,6.7,50,1.0,2.0,110.15,15.312
Alluminio_6061_T6,70566.3,270.8,7.1,60,2.0,1.0,110.69,18.492
Acciaio_Inox_304,193865.6,274.7,3.0,24,4.0,2.0,119.08,5.624
Alluminio_6061_T6,69521.8,267.1,7.8,60,3.0,3.0,129.43,12.8
Alluminio_5052_H32,72362.9,180.2,5.9,50,1.0,3.0,121.02,12.611
Alluminio_5052_H32,68101.0,205.5,3.2,24,1.0,3.0,151.68,2.837
Acciaio_Inox_304,187552.5,285.8,6.4,50,2.0,2.0,120.09,12.875
Acciaio_Mite_S235,215709.0,231.9,1.2,10,1.5,1.5,93.58,3.283
Acciaio_Mite_S235,218429.0,231.7,7.6,60,4.0,3.0,86.95,25.051
Alluminio_6061_T6,69946.7,291.1,2.7,20,1.5,2.0,122.42,4.613
Acciaio_Mite_S235,204802.2,249.8,5.0,40,1.5,1.5,150.25,5.143
Acciaio_Mite_S235,209990.0,229.8,5.5,40,3.0,3.0,157.92,3.854
Alluminio_6061_T6,68219.6,276.9,5.5,40,3.0,1.0,147.75,5.331
Alluminio_6061_T6,70069.6,287.6,6.1,50,2.0,2.0,141.62,8.256
Acciaio_Mite_S235,209189.0,250.3,2.5,20,4.0,1.5,119.0,4.487
Acciaio_Mite_S235,210199.3,228.1,5.8,50,4.0,3.0,84.17,21.384
Alluminio_6061_T6,70589.0,282.6,5.0,40,1.5,1.5,136.64,7.343
Acciaio_Inox_304,190070.6,293.8,3.2,24,2.0,1.5,103.85,7.514
Acciaio_Mite_S235,210196.0,235.7,2.1,16,1.0,1.0,132.04,3.159
Acciaio_Mite_S235,209384.8,249.9,6.0,50,1.5,3.0,85.61,22.001
Acciaio_Mite_S235,209539.0,223.8,4.3,32,4.0,1.5,158.64,2.745
Alluminio_6061_T6,69212.9,292.4,6.8,50,1.5,3.0,89.57,20.521
Alluminio_5052_H32,69711.6,202.1,2.3,20,0.8,2.0,149.54,2.466
Acciaio_Mite_S235,211204.9,209.8,3.2,24,4.0,3.0,142.56,3.416
Alluminio_6061_T6,68835.9,288.2,4.5,32,3.0,1.5,130.47,6.412
Alluminio_6061_T6,68307.9,274.3,1.3,10,2.0,3.0,120.59,1.944
Alluminio_6061_T6,71086.2,274.3,3.5,24,1.0,1.5,96.65,8.484
Alluminio_5052_H32,71401.5,177.7,4.3,32,4.0,3.0,92.31,11.093
Alluminio_5052_H32,71712.4,198.5,5.5,40,0.8,2.0,157.54,3.747
